Electoral division,Postcode,Per cent
Adelaide            ,5000,100.0
Adelaide            ,5006,100.0
Adelaide            ,5007,59.4
Adelaide            ,5008,58.5
Adelaide            ,5031,40.4
Adelaide            ,5034,100.0
Adelaide            ,5035,100.0
Adelaide            ,5061,100.0
Adelaide            ,5063,74.3
Adelaide            ,5065,42.6
Adelaide            ,5067,84.1
Adelaide            ,5069,100.0
Adelaide            ,5070,22.8
Adelaide            ,5081,75.6
Adelaide            ,5082,100.0
Adelaide            ,5083,100.0
Adelaide            ,5084,100.0
Adelaide            ,5085,94.8
Adelaide            ,5086,32.2
Aston               ,3131,13.6
Aston               ,3133,87.3
Aston               ,3152,100.0
Aston               ,3153,49.1
Aston               ,3155,13.4
Aston               ,3156,50.3
Aston               ,3178,100.0
Aston               ,3179,100.0
Aston               ,3180,100.0
Ballarat            ,3333,1.0
Ballarat            ,3334,100.0
Ballarat            ,3340,98.9
Ballarat            ,3341,100.0
Ballarat            ,3342,99.4
Ballarat            ,3345,100.0
Ballarat            ,3350,100.0
Ballarat            ,3351,51.0
Ballarat            ,3352,89.4
Ballarat            ,3355,100.0
Ballarat            ,3356,100.0
Ballarat            ,3357,100.0
Ballarat            ,3363,100.0
Ballarat            ,3364,96.0
Ballarat            ,3370,98.2
Ballarat            ,3371,2.4
Ballarat            ,3444,1.6
Ballarat            ,3446,20.8
Ballarat            ,3447,0.3
Ballarat            ,3451,1.0
Ballarat            ,3458,92.0
Ballarat            ,3460,100.0
Ballarat            ,3461,97.1
Banks               ,2196,13.7
Banks               ,2200,0.3
Banks               ,2208,1.2
Banks               ,2209,61.7
Banks               ,2210,99.8
Banks               ,2211,99.9
Banks               ,2212,48.1
Banks               ,2218,52.6
Banks               ,2220,100.0
Banks               ,2221,91.7
Banks               ,2222,100.0
Banks               ,2223,100.0
Barker              ,5118,3.1
Barker              ,5234,0.2
Barker              ,5235,20.9
Barker              ,5236,100.0
Barker              ,5237,100.0
Barker              ,5238,100.0
Barker              ,5244,1.1
Barker              ,5253,100.0
Barker              ,5254,84.1
Barker              ,5255,0.6
Barker              ,5259,100.0
Barker              ,5260,100.0
Barker              ,5261,100.0
Barker              ,5262,100.0
Barker              ,5263,100.0
Barker              ,5264,100.0
Barker              ,5265,100.0
Barker              ,5266,100.0
Barker              ,5267,100.0
Barker              ,5268,100.0
Barker              ,5269,100.0
Barker              ,5270,100.0
Barker              ,5271,100.0
Barker              ,5272,100.0
Barker              ,5273,100.0
Barker              ,5275,100.0
Barker              ,5276,100.0
Barker              ,5277,100.0
Barker              ,5278,100.0
Barker              ,5279,100.0
Barker              ,5280,100.0
Barker              ,5290,100.0
Barker              ,5291,100.0
Barker              ,5301,100.0
Barker              ,5302,100.0
Barker              ,5303,100.0
Barker              ,5304,100.0
Barker              ,5306,100.0
Barker              ,5307,100.0
Barker              ,5308,100.0
Barker              ,5309,100.0
Barker              ,5310,100.0
Barker              ,5311,100.0
Barker              ,5312,100.0
Barker              ,5320,99.3
Barker              ,5321,100.0
Barker              ,5322,100.0
Barker              ,5330,100.0
Barker              ,5331,100.0
Barker              ,5332,100.0
Barker              ,5333,100.0
Barker              ,5340,100.0
Barker              ,5341,99.5
Barker              ,5342,100.0
Barker              ,5343,100.0
Barker              ,5344,100.0
Barker              ,5345,100.0
Barker              ,5346,100.0
Barker              ,5350,83.0
Barker              ,5351,47.9
Barker              ,5352,95.6
Barker              ,5353,100.0
Barker              ,5354,100.0
Barker              ,5355,85.7
Barker              ,5356,90.2
Barker              ,5357,100.0
Barker              ,5374,2.5
Barton              ,2205,100.0
Barton              ,2206,93.0
Barton              ,2207,100.0
Barton              ,2208,90.4
Barton              ,2209,30.7
Barton              ,2216,100.0
Barton              ,2217,100.0
Barton              ,2218,47.4
Barton              ,2219,100.0
Barton              ,2221,8.3
Bass                ,7212,9.1
Bass                ,7248,100.0
Bass                ,7249,100.0
Bass                ,7250,99.8
Bass                ,7252,100.0
Bass                ,7253,100.0
Bass                ,7254,100.0
Bass                ,7255,100.0
Bass                ,7257,100.0
Bass                ,7258,78.9
Bass                ,7259,100.0
Bass                ,7260,100.0
Bass                ,7261,100.0
Bass                ,7262,100.0
Bass                ,7263,100.0
Bass                ,7264,84.0
Bass                ,7265,100.0
Bass                ,7267,100.0
Bass                ,7268,100.0
Bass                ,7277,62.3
Bass                ,7290,90.3
Batman              ,3058,0.9
Batman              ,3070,100.0
Batman              ,3071,100.0
Batman              ,3072,100.0
Batman              ,3073,100.0
Batman              ,3078,77.6
Batman              ,3083,20.5
Batman              ,3085,12.9
Batman              ,3086,100.0
Bendigo             ,3364,4.0
Bendigo             ,3370,1.8
Bendigo             ,3371,83.2
Bendigo             ,3435,6.6
Bendigo             ,3442,4.8
Bendigo             ,3444,97.1
Bendigo             ,3446,79.2
Bendigo             ,3447,99.7
Bendigo             ,3448,100.0
Bendigo             ,3450,100.0
Bendigo             ,3451,99.0
Bendigo             ,3453,100.0
Bendigo             ,3458,2.7
Bendigo             ,3461,2.9
Bendigo             ,3462,100.0
Bendigo             ,3463,100.0
Bendigo             ,3464,100.0
Bendigo             ,3465,98.0
Bendigo             ,3472,95.1
Bendigo             ,3475,62.4
Bendigo             ,3515,100.0
Bendigo             ,3516,12.4
Bendigo             ,3523,97.7
Bendigo             ,3550,100.0
Bendigo             ,3551,98.9
Bendigo             ,3555,100.0
Bendigo             ,3556,99.6
Bendigo             ,3557,92.5
Bendigo             ,3558,93.4
Bendigo             ,3559,11.0
Bendigo             ,3570,90.8
