""State"",""Surname"",""First Name"",""Other Names"",""Preferred Name"",""Initials"",""Courtesy Title"",""Salutation"",""Honorific"",""Gender"",""Parliament House Telephone"",""Parliament House Fax"",""Political Party"",""Electorate"",""Electorate Office Postal Address"",""Electorate Office Postal Suburb"",""Electorate Office Postal State"",""Electorate Office Postal PostCode"",""Electorate Office Fax"",""Electorate Office Phone"",""Electorate Office Toll Free"",""Parliamentary Titles""
"ACT","Brodtmann","Gai","Marie","Gai","G.","Ms","Ms","MP","FEMALE","(02) 6277 4811","(02) 6277 8585","ALP","Canberra","205 Anketell St","Tuggeranong","ACT","2900","(02) 6293 1068","(02) 6293 1344","",""
"ACT","Leigh","Andrew","Keith","","A. K.","The Hon Dr","Dr","MP","MALE","(02) 6277 4140","(02) 6277 8469","ALP","Fraser","Unit 8/1 Torrens St","Braddon","ACT","2612","(02) 6247 3457","(02) 6247 4396 or 6247 4037","",""
"NSW","Abbott","Anthony","John","Tony","A. J.","The Hon","Mr","MP","MALE","(02) 6277 7700","(02) 6273 4100","LP","Warringah","PO Box 450","Manly","NSW","2095","(02) 9977 8715","(02) 9977 6411","","Prime Minister"
"NSW","Albanese","Anthony","Norman","","A. N.","The Hon","Mr","MP","MALE","(02) 6277 4664","(02) 6277 8532","ALP","Grayndler","334A Marrickville Road","Marrickville","NSW","2204","(02) 9564 1734","(02) 9564 3588","",""
"NSW","Alexander","John","Gilbert","John","J. G.","Mr","Mr","OAM, MP","MALE","(02) 6277 4804","(02) 6277 8581","LP","Bennelong","PO Box 872","Epping","NSW","2121","(02) 9869 4833","(02) 9869 4288","",""
"NSW","Baldwin","Robert","Charles","Bob","R. C.","The Hon","Mr","MP","MALE","(02) 6277 4200","(02) 6277 8447","LP","Paterson","PO Box 156","Raymond Terrace","NSW","2324","(02) 4987 5444","(02) 4983 1330","","Parliamentary Secretary to the Minister for Industry"
"NSW","Bird","Sharon","Leah","","S. L.","The Hon","Ms","MP","FEMALE","(02) 6277 4244","(02) 6277 4260","ALP","Cunningham","PO Box 387,","Wollongong","NSW","2520","(02) 4228 5077","(02) 4228 5899","",""
"NSW","Bishop","Bronwyn","Kathleen","","B. K.","The Hon","Mrs","MP","FEMALE","(02) 6277 4000","(02) 6277 2050","LP","Mackellar","Shop 1, 1238-1246 Pittwater Road","Narrabeen","NSW","2101","(02) 9913 9577","(02) 9913 9566","","Speaker"
"NSW","Bowen","Chris","Eyles","","C. E.","The Hon","Mr","MP","MALE","(02) 6277 4822","(02) 6277 8587","ALP","McMahon","PO Box W210","Fairfield","NSW","2165","(02) 9609 3873","(02) 9604 0710","",""
"NSW","Burke","Anthony","Stephen","Tony","A. S.","The Hon","Mr","MP","MALE","(02) 6277 4410","(02) 6277 2215","ALP","Watson","PO Box 156","Roselands","NSW","2196","(02) 9750 9288","(02) 9750 9088","","Manager of Opposition Business"
"NSW","Clare","Jason","Dean","","J. D.","The Hon","Mr","MP","MALE","(02) 6277 4904","(02) 6277 4750","ALP","Blaxland","PO Box 153","Bankstown","NSW","1885","(02) 9790 0770","(02) 9790 2466","",""
"NSW","Claydon","Sharon","Catherine","Sharon","S. C.","Ms","Ms","MP","FEMALE","(02) 6277 4285","(02) 6277 2378","ALP","Newcastle","427 Hunter Street","Newcastle","NSW","2300","(02) 4926 1895","(02) 4926 1555","",""
"NSW","Cobb","John","Kenneth","","J. K.","The Hon","Mr","MP","MALE","(02) 6277 4721","(02) 6277 8543","Nats","Calare","PO Box 673","Orange","NSW","2800","(02) 6362 3480","(02) 6361 7138","",""
"NSW","Coleman","David","Bernard","David","D. B.","Mr","Mr","MP","MALE","(02) 6277 4188","(02) 6277 2353","LP","Banks","PO Box 564","Revesby","NSW","2212","(02) 9773 4144","(02) 9771 3400","",""
"NSW","Conroy","Patrick","Martin","Pat","P.M.","Mr","Mr","MP","MALE","(02) 6277 4863","(02) 6277 4963","ALP","Charlton","PO Box 747","Cardiff","NSW","2285","(02) 4954 2655","(02) 4954 2611","",""
"NSW","Coulton","Mark","Maclean","","M. M.","Mr","Mr","MP","MALE","(02) 6277 4607","(02) 6277 8504","Nats","Parkes","Shop 3, 153 Brisbane Street","Dubbo","NSW","2830","(02) 6882 9935","(02) 6882 0999","","The Nationals Chief Whip"
"NSW","Elliot","Maria","Justine","Justine","M. J.","The Hon","Mrs","MP","FEMALE","(02) 6277 4554","(02) 6277 8520","ALP","Richmond","PO Box 6996","Tweed Heads South","NSW","2486","(07) 5523 4379","(07) 5523 4371","",""
"NSW","Ferguson","Laurie","Donald Thomas","Laurie","L. D. T.","Mr","Mr","MP","MALE","(02) 6277 4920","(02) 6277 8507","ALP","Werriwa","PO Box 191,","Ingleburn","NSW","1890","(02) 9829 7499","(02) 9829 7477","",""
"NSW","Fitzgibbon","Joel","Andrew","","J. A.","The Hon","Mr","MP","MALE","(02) 6277 4550","(02) 6277 8556","ALP","Hunter","PO Box 526","Cessnock","NSW","2325","(02) 4991 2322","(02) 4991 1022","",""
"NSW","Fletcher","Paul","William","Paul","P. W.","The Hon","Mr","MP","MALE","(02) 6277 4240","(02) 6277 8457","LP","Bradfield","Suite 1, Level 2, 280 Pacific Highway","Lindfield","NSW","2070","(02) 9465 3999","(02) 9465 3950","","Parliamentary Secretary to the Minister for Communications"
"NSW","Gillespie","David","Arthur","David","D. A.","Dr","Dr","MP","MALE","(02) 6277 4960","(02) 6277 2856","Nats","Lyne","PO Box 1112","Port Macquarie","NSW","2444","(02) 6584 1022","(02) 6583 2077","",""
"NSW","Hall","Jill","Griffiths","","J. G.","Ms","Ms","MP","FEMALE","(02) 6277 4492","(02) 6277 8505","ALP","Shortland","PO Box 499","Belmont","NSW","2280","(02) 4947 9722","(02) 4947 9711","","Opposition Whip"
"NSW","Hartsuyker","Luke","","","L.","The Hon","Mr","MP","MALE","(02) 6277 7540","(02) 6273 0207","Nats","Cowper","PO Box 2056","Coffs Harbour","NSW","2450","(02) 6651 4346","(02) 6652 6233","","Assistant Minister for Employment, Deputy Leader of the House"
"NSW","Hawke","Alexander","George","Alex","A. G.","Mr","Mr","MP","MALE","(02) 6277 4430","(02) 6277 8522","LP","Mitchell","PO Box 1173","Castle Hill","NSW","2154","(02) 9899 7990","(02) 9899 7211","",""
